Player,Market_Value
Diego Llorente,"17,50 Mill. € "
Gerard Moreno,"17,50 Mill. € "
Layvin Kurzawa,"17,50 Mill. € "
Alphonse Areola,"17,50 Mill. € "
Iago Falque,"17,50 Mill. € "
Paulinho,"17,00 Mill. € "
Alban Lafont,"17,00 Mill. € "
Malang Sarr,"17,00 Mill. € "
Reiss Nelson,"17,00 Mill. € "
Denis Zakaria,"17,00 Mill. € "
Sander Berge,"17,00 Mill. € "
Brahim Díaz,"17,00 Mill. € "
